Country_name,Gdp,Population,Year and Popuation
Japan,237.54%,"126,476,461","[('2020', '126,476,461'), ('2019', '126,860,301'), ('2018', '127,202,192'), ('2017', '127,502,725'), ('2016', '127,763,265'), ('2015', '127,985,133'), ('2010', '128,542,353'), ('2005', '128,326,116'), ('2000', '127,524,174'), ('1995', '126,365,484'), ('1990', '124,505,240'), ('1985', '121,883,482'), ('1980', '117,816,940'), ('1975', '112,413,359'), ('1970', '104,929,251'), ('1965', '98,447,002'), ('1960', '93,673,615'), ('1955', '89,018,257'), ('1950', '82,802,084')]"
Eritrea,127.34%,"3,546,421","[('2020', '3,546,421'), ('2019', '3,497,117'), ('2018', '3,452,786'), ('2017', '3,412,893'), ('2016', '3,376,557'), ('2015', '3,342,818'), ('2010', '3,170,435'), ('2005', '2,826,659'), ('2000', '2,292,416'), ('1995', '2,204,222'), ('1990', '2,258,653'), ('1985', '2,003,937'), ('1980', '1,733,416'), ('1975', '1,505,439'), ('1970', '1,310,945'), ('1965', '1,148,189'), ('1960', '1,007,590'), ('1955', '899,752'), ('1950', '822,350')]"
Italy,133.43%,"60,461,826","[('2020', '60,461,826'), ('2019', '60,550,075'), ('2018', '60,627,291'), ('2017', '60,673,701'), ('2016', '60,663,060'), ('2015', '60,578,494'), ('2010', '59,325,229'), ('2005', '58,281,212'), ('2000', '56,692,178'), ('1995', '57,174,408'), ('1990', '57,048,236'), ('1985', '56,936,774'), ('1980', '56,349,349'), ('1975', '55,265,284'), ('1970', '53,518,969'), ('1965', '51,677,257'), ('1960', '49,699,951'), ('1955', '48,335,578'), ('1950', '46,598,601')]"
Bhutan,103.85%,"771,608","[('2020', '771,608'), ('2019', '763,092'), ('2018', '754,388'), ('2017', '745,563'), ('2016', '736,708'), ('2015', '727,876'), ('2010', '685,503'), ('2005', '648,739'), ('2000', '591,021'), ('1995', '534,620'), ('1990', '530,804'), ('1985', '464,266'), ('1980', '406,875'), ('1975', '348,396'), ('1970', '297,316'), ('1965', '253,994'), ('1960', '223,288'), ('1955', '197,457'), ('1950', '176,797')]"
United States,106.70%,"331,002,651","[('2020', '331,002,651'), ('2019', '329,064,917'), ('2018', '327,096,265'), ('2017', '325,084,756'), ('2016', '323,015,995'), ('2015', '320,878,310'), ('2010', '309,011,475'), ('2005', '294,993,511'), ('2000', '281,710,909'), ('1995', '265,163,745'), ('1990', '252,120,309'), ('1985', '240,499,825'), ('1980', '229,476,354'), ('1975', '219,081,251'), ('1970', '209,513,341'), ('1965', '199,733,676'), ('1960', '186,720,571'), ('1955', '171,685,336'), ('1950', '158,804,395')]"
Lebanon,157.81%,"6,825,445","[('2020', '6,825,445'), ('2019', '6,855,713'), ('2018', '6,859,408'), ('2017', '6,819,373'), ('2016', '6,714,281'), ('2015', '6,532,678'), ('2010', '4,953,061'), ('2005', '4,698,763'), ('2000', '3,842,778'), ('1995', '3,528,380'), ('1990', '2,803,044'), ('1985', '2,651,995'), ('1980', '2,588,929'), ('1975', '2,575,749'), ('1970', '2,297,434'), ('1965', '2,092,375'), ('1960', '1,804,941'), ('1955', '1,532,115'), ('1950', '1,334,621')]"
Singapore,109.37%,"5,850,342","[('2020', '5,850,342'), ('2019', '5,804,337'), ('2018', '5,757,499'), ('2017', '5,708,041'), ('2016', '5,653,634'), ('2015', '5,592,152'), ('2010', '5,131,172'), ('2005', '4,265,687'), ('2000', '4,028,871'), ('1995', '3,525,969'), ('1990', '3,012,966'), ('1985', '2,705,534'), ('1980', '2,411,688'), ('1975', '2,259,721'), ('1970', '2,072,283'), ('1965', '1,877,826'), ('1960', '1,633,130'), ('1955', '1,305,105'), ('1950', '1,022,096')]"
Mozambique,124.46%,"31,255,435","[('2020', '31,255,435'), ('2019', '30,366,036'), ('2018', '29,496,004'), ('2017', '28,649,018'), ('2016', '27,829,938'), ('2015', '27,042,002'), ('2010', '23,531,574'), ('2005', '20,493,925'), ('2000', '17,711,927'), ('1995', '15,483,286'), ('1990', '12,987,292'), ('1985', '12,764,387'), ('1980', '11,630,194'), ('1975', '10,165,215'), ('1970', '9,022,741'), ('1965', '8,039,215'), ('1960', '7,184,869'), ('1955', '6,508,398'), ('1950', '5,958,970')]"
Portugal,119.46%,"10,196,709","[('2020', '10,196,709'), ('2019', '10,226,187'), ('2018', '10,256,193'), ('2017', '10,288,527'), ('2016', '10,325,538'), ('2015', '10,368,351'), ('2010', '10,596,058'), ('2005', '10,508,495'), ('2000', '10,297,112'), ('1995', '10,091,325'), ('1990', '9,895,364'), ('1985', '9,929,184'), ('1980', '9,750,964'), ('1975', '9,172,241'), ('1970', '8,651,340'), ('1965', '8,862,280'), ('1960', '8,844,645'), ('1955', '8,625,532'), ('1950', '8,416,967')]"
Cape Verde,125.29%,"555,987","[('2020', '555,987'), ('2019', '549,935'), ('2018', '543,767'), ('2017', '537,498'), ('2016', '531,146'), ('2015', '524,743'), ('2010', '492,654'), ('2005', '463,032'), ('2000', '428,188'), ('1995', '386,284'), ('1990', '337,950'), ('1985', '311,678'), ('1980', '283,847'), ('1975', '270,247'), ('1970', '268,627'), ('1965', '230,418'), ('1960', '201,765'), ('1955', '197,195'), ('1950', '178,065')]"
Greece,174.15%,"10,423,054","[('2020', '10,423,054'), ('2019', '10,473,455'), ('2018', '10,522,246'), ('2017', '10,569,450'), ('2016', '10,615,185'), ('2015', '10,659,750'), ('2010', '10,887,637'), ('2005', '11,224,791'), ('2000', '11,082,104'), ('1995', '10,745,503'), ('1990', '10,225,992'), ('1985', '9,968,238'), ('1980', '9,627,002'), ('1975', '9,014,085'), ('1970', '8,663,571'), ('1965', '8,453,821'), ('1960', '8,273,629'), ('1955', '8,011,124'), ('1950', '7,668,794')]"
Canada,88.01%,"37,742,154","[('2020', '37,742,154'), ('2019', '37,411,047'), ('2018', '37,074,562'), ('2017', '36,732,095'), ('2016', '36,382,944'), ('2015', '36,026,676'), ('2010', '34,147,564'), ('2005', '32,164,309'), ('2000', '30,588,383'), ('1995', '29,164,152'), ('1990', '27,541,319'), ('1985', '25,744,810'), ('1980', '24,416,886'), ('1975', '23,059,265'), ('1970', '21,374,326'), ('1965', '19,627,980'), ('1960', '17,847,405'), ('1955', '15,673,763'), ('1950', '13,733,402')]"
Afghanistan,6.88%,"38,928,346","[('2020', '38,928,346'), ('2019', '38,041,754'), ('2018', '37,171,921'), ('2017', '36,296,113'), ('2016', '35,383,032'), ('2015', '34,413,603'), ('2010', '29,185,507'), ('2005', '25,654,277'), ('2000', '20,779,953'), ('1995', '18,110,657'), ('1990', '12,412,308'), ('1985', '11,938,208'), ('1980', '13,356,511'), ('1975', '12,689,160'), ('1970', '11,173,642'), ('1965', '9,956,320'), ('1960', '8,996,973'), ('1955', '8,270,991'), ('1950', '7,752,118')]"
Barbados,117.27%,"287,375","[('2020', '287,375'), ('2019', '287,025'), ('2018', '286,641'), ('2017', '286,232'), ('2016', '285,796'), ('2015', '285,324'), ('2010', '282,131'), ('2005', '276,323'), ('2000', '271,515'), ('1995', '265,955'), ('1990', '260,936'), ('1985', '256,263'), ('1980', '252,394'), ('1975', '246,154'), ('1970', '238,896'), ('1965', '235,413'), ('1960', '230,980'), ('1955', '227,138'), ('1950', '210,992')]"
Venezuela,214.45%,"28,435,940","[('2020', '28,435,940'), ('2019', '28,515,829'), ('2018', '28,887,118'), ('2017', '29,402,484'), ('2016', '29,851,255'), ('2015', '30,081,829'), ('2010', '28,439,940'), ('2005', '26,432,447'), ('2000', '24,192,446'), ('1995', '21,931,084'), ('1990', '19,632,665'), ('1985', '17,319,520'), ('1980', '15,182,611'), ('1975', '13,189,509'), ('1970', '11,396,393'), ('1965', '9,692,278'), ('1960', '8,141,841'), ('1955', '6,744,695'), ('1950', '5,481,978')]"
Brunei,2.63%,"437,479","[('2020', '437,479'), ('2019', '433,285'), ('2018', '428,963'), ('2017', '424,473'), ('2016', '419,800'), ('2015', '414,907'), ('2010', '388,646'), ('2005', '365,114'), ('2000', '333,165'), ('1995', '297,114'), ('1990', '258,721'), ('1985', '224,449'), ('1980', '193,879'), ('1975', '161,626'), ('1970', '129,529'), ('1965', '102,386'), ('1960', '81,702'), ('1955', '63,356'), ('1950', '48,001')]"
Egypt,86.93%,"102,334,404","[('2020', '102,334,404'), ('2019', '100,388,073'), ('2018', '98,423,598'), ('2017', '96,442,591'), ('2016', '94,447,073'), ('2015', '92,442,547'), ('2010', '82,761,235'), ('2005', '75,523,569'), ('2000', '68,831,561'), ('1995', '62,334,034'), ('1990', '56,134,475'), ('1985', '49,258,732'), ('1980', '43,309,063'), ('1975', '38,549,142'), ('1970', '34,513,850'), ('1965', '30,433,022'), ('1960', '26,632,894'), ('1955', '23,223,124'), ('1950', '20,451,978')]"
Dr Congo,14.01%,"89,561,403","[('2020', '89,561,403'), ('2019', '86,790,567'), ('2018', '84,068,091'), ('2017', '81,398,764'), ('2016', '78,789,127'), ('2015', '76,244,544'), ('2010', '64,563,854'), ('2005', '54,785,903'), ('2000', '47,105,826'), ('1995', '41,576,234'), ('1990', '34,612,023'), ('1985', '29,881,229'), ('1980', '26,358,908'), ('1975', '22,903,581'), ('1970', '20,011,036'), ('1965', '17,369,883'), ('1960', '15,248,251'), ('1955', '13,517,513'), ('1950', '12,183,659')]"
Russia,13.79%,"145,934,462","[('2020', '145,934,462'), ('2019', '145,872,256'), ('2018', '145,734,038'), ('2017', '145,530,082'), ('2016', '145,275,383'), ('2015', '144,985,057'), ('2010', '143,479,274'), ('2005', '143,672,116'), ('2000', '146,404,903'), ('1995', '148,227,466'), ('1990', '147,531,561'), ('1985', '142,957,284'), ('1980', '138,053,150'), ('1975', '133,804,858'), ('1970', '130,148,653'), ('1965', '126,503,736'), ('1960', '119,871,700'), ('1955', '111,355,300'), ('1950', '102,798,657')]"
Kuwait,17.78%,"4,270,571","[('2020', '4,270,571'), ('2019', '4,207,083'), ('2018', '4,137,312'), ('2017', '4,056,099'), ('2016', '3,956,875'), ('2015', '3,835,591'), ('2010', '2,991,884'), ('2005', '2,270,198'), ('2000', '2,045,123'), ('1995', '1,605,901'), ('1990', '2,095,344'), ('1985', '1,735,274'), ('1980', '1,368,677'), ('1975', '1,021,720'), ('1970', '744,450'), ('1965', '472,037'), ('1960', '269,029'), ('1955', '181,888'), ('1950', '153,098')]"
Solomon Islands,14.56%,"686,884","[('2020', '686,884'), ('2019', '669,823'), ('2018', '652,857'), ('2017', '636,039'), ('2016', '619,438'), ('2015', '603,118'), ('2010', '527,861'), ('2005', '469,918'), ('2000', '412,660'), ('1995', '359,281'), ('1990', '311,866'), ('1985', '270,788'), ('1980', '230,546'), ('1975', '193,402'), ('1970', '160,250'), ('1965', '136,816'), ('1960', '117,849'), ('1955', '102,002'), ('1950', '89,794')]"
