Link,Title,Year,Genre,Duration
https://www.imdb.com/title/tt0111161/,The Shawshank Redemption ,1994,Drama,2h 22min
https://www.imdb.com/title/tt0110413/,Léon: The Professional ,1994,Action,1h 50min
https://www.imdb.com/title/tt0038650/,It's a Wonderful Life ,1946,Drama,2h 10min
https://www.imdb.com/title/tt0120689/,The Green Mile ,1999,Crime,3h 9min
https://www.imdb.com/title/tt0317248/,City of God ,2002,Crime,2h 10min
https://www.imdb.com/title/tt0102926/,The Silence of the Lambs ,1991,Crime,1h 58min
https://www.imdb.com/title/tt0047478/,Seven Samurai ,1954,Action,3h 27min
https://www.imdb.com/title/tt0245429/,Spirited Away ,2001,Animation,2h 5min
https://www.imdb.com/title/tt0120815/,Saving Private Ryan ,1998,Drama,2h 49min
https://www.imdb.com/title/tt0114369/,Se7en ,1995,Crime,2h 7min
https://www.imdb.com/title/tt0118799/,Life Is Beautiful ,1997,Comedy,1h 56min
https://www.imdb.com/title/tt0099685/,Goodfellas ,1990,Biography,2h 26min
https://www.imdb.com/title/tt0169858/,Neon Genesis Evangelion: The End of Evangelion ,1997,Animation,1h 27min
https://www.imdb.com/title/tt6751668/,Parasite ,2019,Comedy,2h 12min
https://www.imdb.com/title/tt0816692/,Interstellar ,2014,Adventure,2h 49min
https://www.imdb.com/title/tt0073486/,One Flew Over the Cuckoo's Nest ,1975,Drama,2h 13min
https://www.imdb.com/title/tt0088247/,The Terminator ,1984,Action,1h 47min
https://www.imdb.com/title/tt0103639/,Aladdin ,1992,Animation,1h 30min
https://www.imdb.com/title/tt2338151/,PK ,2014,Comedy,2h 33min
https://www.imdb.com/title/tt4857264/,The Invisible Guest ,2016,Crime,1h 46min
https://www.imdb.com/title/tt0050613/,Throne of Blood ,1957,Drama,1h 50min
https://www.imdb.com/title/tt0093779/,The Princess Bride ,1987,Adventure,1h 38min
https://www.imdb.com/title/tt1454029/,The Help ,2011,Drama,2h 26min
https://www.imdb.com/title/tt0076759/,Star Wars: Episode IV - A New Hope ,1977,Action,2h 1min
https://www.imdb.com/title/tt0381681/,Before Sunset ,2004,Drama,1h 20min
https://www.imdb.com/title/tt0058946/,The Battle of Algiers ,1966,Drama,2h 1min
https://www.imdb.com/title/tt0025316/,It Happened One Night ,1934,Comedy,1h 45min
https://www.imdb.com/title/tt8613070/,Portrait of a Lady on Fire ,2019,Drama,2h 2min
https://www.imdb.com/title/tt0118694/,In the Mood for Love ,2000,Drama,1h 38min
https://www.imdb.com/title/tt0087884/,"Paris, Texas ",1984,Drama,2h 25min
https://www.imdb.com/title/tt0018773/,The Circus ,1928,Comedy,1h 12min
https://www.imdb.com/title/tt4430212/,Drishyam ,2015,Crime,2h 43min
https://www.imdb.com/title/tt0032976/,Rebecca ,1940,Drama,2h 10min
https://www.imdb.com/title/tt0198781/,"Monsters, Inc. ",2001,Animation,1h 32min
https://www.imdb.com/title/tt0083922/,Fanny and Alexander ,1982,Drama,3h 8min
https://www.imdb.com/title/tt0075148/,Rocky ,1976,Drama,2h
https://www.imdb.com/title/tt0113247/,La Haine ,1995,Crime,1h 38min
https://www.imdb.com/title/tt0087544/,Nausicaä of the Valley of the Wind ,1984,Animation,1h 57min
https://www.imdb.com/title/tt0405508/,Rang De Basanti ,2006,Comedy,2h 47min
https://www.imdb.com/title/tt1954470/,Gangs of Wasseypur ,2012,Action,5h 21min
https://www.imdb.com/title/tt4016934/,The Handmaiden ,2016,Drama,2h 25min
https://www.imdb.com/title/tt1895587/,Spotlight ,2015,Biography,2h 9min
https://www.imdb.com/title/tt0245712/,Amores Perros ,2000,Drama,2h 34min
https://www.imdb.com/title/tt0053198/,The 400 Blows ,1959,Crime,1h 39min
https://www.imdb.com/title/tt0060107/,Andrei Rublev ,1966,Biography,3h 25min
https://www.imdb.com/title/tt0395169/,Hotel Rwanda ,2004,Biography,2h 1min
https://www.imdb.com/title/tt1201607/,Harry Potter and the Deathly Hallows: Part 2 ,2011,Adventure,2h 10min
https://www.imdb.com/title/tt0019254/,The Passion of Joan of Arc ,1928,Biography,1h 54min
https://www.imdb.com/title/tt1979320/,Rush ,2013,Biography,2h 3min
https://www.imdb.com/title/tt0097165/,Dead Poets Society ,1989,Comedy,2h 8min
https://www.imdb.com/title/tt0046268/,The Wages of Fear ,1953,Adventure,2h 11min
https://www.imdb.com/title/tt0079470/,Monty Python's Life of Brian ,1979,Comedy,1h 34min
https://www.imdb.com/title/tt0091763/,Platoon ,1986,Drama,2h
https://www.imdb.com/title/tt0405159/,Million Dollar Baby ,2004,Drama,2h 12min
https://www.imdb.com/title/tt3315342/,Logan ,2017,Action,2h 17min
https://www.imdb.com/title/tt0048021/,Rififi ,1955,Crime,1h 58min
https://www.imdb.com/title/tt0052618/,Ben-Hur ,1959,Adventure,3h 32min
https://www.imdb.com/title/tt0074958/,Network ,1976,Drama,2h 1min
https://www.imdb.com/title/tt0758758/,Into the Wild ,2007,Adventure,2h 28min
https://www.imdb.com/title/tt1028532/,Hachi: A Dog's Tale ,2009,Drama,1h 33min
https://www.imdb.com/title/tt0061512/,Cool Hand Luke ,1967,Crime,2h 7min
https://www.imdb.com/title/tt0072684/,Barry Lyndon ,1975,Adventure,3h 5min
